,event,time_scal
2446,1,0.0010034722222222222
2447,0,0.0011712962962962964
2448,1,0.0012777777777777779
2449,0,0.0017106481481481482
2450,1,0.00178125
2451,0,0.004644675925925926
2452,1,0.004706018518518518
2453,0,0.00715625
2454,1,0.007231481481481481
2455,0,0.007846064814814814
2456,1,0.007952546296296296
2457,0,0.00812037037037037
2458,1,0.008200231481481482
2459,0,0.008453703703703703
2460,1,0.008543981481481482
2461,0,0.00972337962962963
2462,1,0.009784722222222222
2463,0,0.009851851851851851
2464,1,0.009996527777777778
2465,0,0.01003125
2466,1,0.010091435185185186
2467,0,0.010189814814814815
2468,1,0.010275462962962964
2469,0,0.010277777777777778
2470,1,0.010341435185185184
2471,0,0.010579861111111111
2472,1,0.010641203703703703
2473,0,0.012219907407407407
2474,1,0.01228125
2475,0,0.013789351851851851
2476,1,0.013881944444444445
2477,0,0.013888888888888888
2478,1,0.013967592592592592
2479,0,0.014065972222222223
2480,1,0.014150462962962964
2481,0,0.014449074074074074
2482,1,0.014537037037037038
2483,16,0.026770833333333334
2484,17,0.02677777777777778
2485,16,0.02678009259259259
2486,17,0.026782407407407408
2487,16,0.026800925925925926
2488,17,0.026804398148148147
2489,16,0.026814814814814816
2490,17,0.026834490740740742
2491,16,0.026836805555555555
2492,17,0.026837962962962963
2493,16,0.02683912037037037
2494,17,0.026876157407407408
2495,16,0.026877314814814816
2496,17,0.02687962962962963
2497,16,0.026880787037037036
2498,5,0.03220023148148148
2499,0,0.03224884259259259
2500,1,0.032332175925925924
38497,23,0.033625
2501,7,0.03366203703703704
2502,6,0.033679398148148146
38498,22,0.03373611111111111
2503,9,0.033743055555555554
2504,8,0.03376851851851852
38499,23,0.033769675925925925
2505,9,0.03377314814814815
2506,8,0.033776620370370374
2507,9,0.033790509259259256
2508,8,0.033791666666666664
2509,9,0.033797453703703705
2510,8,0.03379976851851852
2511,9,0.033804398148148146
2512,8,0.03381597222222222
2513,9,0.03381712962962963
2514,8,0.03382175925925926
2515,9,0.033824074074074076
2516,8,0.03382754629629629
2517,9,0.03383101851851852
2518,8,0.03383564814814815
2519,7,0.033837962962962966
2520,9,0.033839120370370374
2521,8,0.03384259259259259
2522,9,0.033846064814814815
2523,8,0.03385069444444445
2524,9,0.033859953703703705
2525,8,0.03386342592592593
2526,9,0.03386921296296296
2527,8,0.03387152777777778
2528,6,0.033881944444444444
2529,7,0.03391898148148148
2530,9,0.03392013888888889
2531,8,0.0339212962962963
2532,9,0.03392592592592593
2533,8,0.033929398148148146
2534,6,0.03393171296296296
2535,9,0.03394097222222222
2536,8,0.03394212962962963
2537,9,0.033949074074074076
2538,8,0.033950231481481484
2539,7,0.03395138888888889
2540,6,0.03395601851851852
2541,9,0.03400462962962963
2542,8,0.034006944444444444
2543,7,0.03417476851851852
2544,6,0.034185185185185187
38500,22,0.03421990740740741
2545,9,0.03422800925925926
2546,8,0.034229166666666665
2547,9,0.03423611111111111
2548,8,0.03423726851851852
2549,9,0.034243055555555554
2550,8,0.03424421296296296
2551,9,0.034248842592592595
2552,8,0.03425231481481481
2553,9,0.03428009259259259
2554,8,0.03428125
2555,9,0.03428587962962963
2556,8,0.03428703703703704
2557,9,0.03429282407407407
2558,8,0.03429513888888889
2559,9,0.03430092592592593
2560,8,0.03430208333333333
38501,23,0.03433564814814815
38502,22,0.03434259259259259
2561,9,0.03434953703703704
2562,8,0.03435069444444445
2563,9,0.03435648148148148
2564,8,0.0343587962962963
2565,9,0.03436458333333333
2566,8,0.034368055555555554
2567,9,0.03438541666666667
2568,8,0.034390046296296294
2569,9,0.034394675925925926
2570,8,0.03439699074074074
38503,23,0.03443287037037037
38504,22,0.034458333333333334
38505,23,0.034525462962962966
38506,22,0.03452893518518518
38507,23,0.034563657407407404
38508,22,0.03457060185185185
38509,23,0.03461226851851852
38510,22,0.03475231481481481
2571,4,0.03478125
2572,0,0.034902777777777776
2573,5,0.03491319444444444
2574,1,0.03498263888888889
2575,0,0.04319907407407408
2576,1,0.04325810185185185
2577,0,0.04333796296296296
2578,1,0.04341435185185185
2579,0,0.04626736111111111
2580,1,0.046349537037037036
2581,4,0.04869444444444444
2582,0,0.04870949074074074
2583,1,0.048788194444444447
2584,5,0.04880787037037037
2585,4,0.04887847222222222
38511,23,0.048894675925925925
2586,9,0.04895949074074074
2587,8,0.04898263888888889
2588,9,0.04898726851851852
2589,8,0.048991898148148146
2590,9,0.048993055555555554
2591,8,0.04899421296296296
2592,9,0.04899537037037037
2593,7,0.04900810185185185
2594,6,0.04901388888888889
2595,8,0.0490162037037037
2596,9,0.04901736111111111
2597,8,0.04902083333333333
